Station ID,Complex ID,Line,Stop Name,Borough,GTFS Latitude,GTFS Longitude
523,523,Staten Island,Arthur Kill,SI,40.516578,-74.242096
135,135,Canarsie,Livonia Av,Bk,40.664038,-73.900571
321,321,Broadway - 7Av,18 St,M,40.74104,-73.997871
129,129,Canarsie,Halsey St,Q,40.695602,-73.904084
466,609,Flushing,5 Av,M,40.753821,-73.981963
237,237,6th Av - Culver,Carroll St,Bk,40.680303,-73.995048
353,353,Nostrand,President St-Medgar Evers College,Bk,40.667883,-73.950683
244,244,6th Av - Culver,Ditmas Av,Bk,40.636119,-73.978172
250,250,6th Av - Culver,Kings Hwy,Bk,40.603217,-73.972361
390,603,Jerome Av,149 St-Grand Concourse,Bx,40.818375,-73.927351
510,510,Staten Island,New Dorp,SI,40.57348,-74.11721
205,205,Rockaway,Beach 60 St,Q,40.592374,-73.788522
435,603,Lenox - White Plains Rd,149 St-Grand Concourse,Bx,40.81841,-73.926718
27,617,4th Av,Atlantic Av-Barclays Ctr,Bk,40.683666,-73.97881
422,422,Lenox - White Plains Rd,Burke Av,Bx,40.871356,-73.867164
41,41,Broadway - Brighton,7 Av,Bk,40.67705,-73.972367
54,54,Broadway - Brighton,Sheepshead Bay,Bk,40.586896,-73.954155
59,59,West End,9 Av,Bk,40.646292,-73.994324
167,167,8th Av - Fulton St,W 4 St-Wash Sq,M,40.732338,-74.000495
280,280,Queens - Archer,Jamaica-Van Wyck,Q,40.702566,-73.816859
282,282,Crosstown,21 St,Q,40.744065,-73.949724
150,150,8th Av - Fulton St,155 St,M,40.830518,-73.941514
388,388,Jerome Av,167 St,Bx,40.835537,-73.9214
293,293,Broadway - 7Av,Van Cortlandt Park-242 St,Bx,40.889248,-73.898583
162,162,8th Av - Fulton St,50 St,M,40.762456,-73.985984
403,403,Lexington Av,33 St,M,40.746081,-73.982076
312,312,Broadway - 7Av,79 St,M,40.783934,-73.979917
180,180,8th Av - Fulton St,Kingston-Throop Avs,Bk,40.679921,-73.940858
420,420,Lenox - White Plains Rd,219 St,Bx,40.883895,-73.862633
265,265,Queens Blvd,Grand Av-Newtown,Q,40.737015,-73.877223
73,615,Sea Beach,New Utrecht Av,Bk,40.624842,-73.996353
151,151,8th Av - Fulton St,145 St,M,40.824783,-73.944216
4,4,Astoria,Broadway,Q,40.76182,-73.925508
176,176,8th Av - Fulton St,Lafayette Av,Bk,40.686113,-73.973946
52,52,Broadway - Brighton,Avenue U,Bk,40.5993,-73.955929
191,191,Liberty Av,88 St,Q,40.679843,-73.85147
31,31,4th Av,25 St,Bk,40.660397,-73.998091
270,270,Queens Blvd,46 St,Q,40.756312,-73.913333
292,292,Crosstown,Fulton St,Bk,40.687119,-73.975375
410,623,Lexington Av,Canal St,M,40.718803,-74.000193
415,620,Eastern Pky,Borough Hall,Bk,40.692404,-73.990151
307,307,Broadway - 7Av,116 St-Columbia University,M,40.807722,-73.96411
366,366,Pelham,Parkchester,Bx,40.833226,-73.860816
405,405,Lexington Av,23 St-Baruch College,M,40.739864,-73.986599
204,204,Rockaway,Beach 67 St,Q,40.590927,-73.796924
383,383,Jerome Av,183 St,Bx,40.858407,-73.903879
275,612,Queens Blvd,Lexington Av/53 St,M,40.757552,-73.969055
42,42,Broadway - Brighton,Prospect Park,Bk,40.661614,-73.962246
319,319,Broadway - 7Av,28 St,M,40.747215,-73.993365
20,20,Broadway,City Hall,M,40.713282,-74.006978
260,260,Queens Blvd,75 Av,Q,40.718331,-73.837324
74,74,Sea Beach,18 Av,Bk,40.620671,-73.990414
11,611,Broadway - Brighton,Times Sq-42 St,M,40.754672,-73.986754
302,605,Broadway - 7Av,168 St-Washington Hts,M,40.840556,-73.940133
437,437,Lenox - White Plains Rd,145 St,M,40.820421,-73.936245
146,146,8th Av - Fulton St,181 St,M,40.851695,-73.937969
297,297,Broadway - 7Av,215 St,M,40.869444,-73.915279
95,95,Jamaica,Gates Av,Bk,40.68963,-73.92227
459,459,Flushing,40 St-Lowery St,Q,40.743781,-73.924016
236,236,6th Av - Culver,Bergen St,Bk,40.686145,-73.990862
181,181,8th Av - Fulton St,Utica Av,Bk,40.679364,-73.930729
477,477,Second Av,72 St,M,40.768799,-73.958424
334,334,Clark St,Clark St,Bk,40.697466,-73.993086
160,160,8th Av - Fulton St,72 St,M,40.775594,-73.97641
187,187,8th Av - Fulton St,Shepherd Av,Bk,40.67413,-73.88075
35,35,4th Av,59 St,Bk,40.641362,-74.017881
172,628,8th Av - Fulton St,Fulton St,M,40.710197,-74.007691
361,361,Pelham,Buhre Av,Bx,40.84681,-73.832569
219,604,Concourse,161 St-Yankee Stadium,Bx,40.827905,-73.925651
398,398,Lexington Av,77 St,M,40.77362,-73.959874
48,48,Broadway - Brighton,Avenue H,Bk,40.62927,-73.961639
329,329,Broadway - 7Av,Rector St,M,40.707513,-74.013783
6,6,Astoria,39 Av-Dutch Kills,Q,40.752882,-73.932755
230,619,6th Av - Culver,Broadway-Lafayette St,M,40.725297,-73.996204
512,512,Staten Island,Bay Terrace,SI,40.5564,-74.136907
80,80,Jamaica,121 St,Q,40.700492,-73.828294
324,324,Broadway - 7Av,Houston St,M,40.728251,-74.005367
255,255,Queens Blvd,169 St,Q,40.71047,-73.793604
245,245,6th Av - Culver,18 Av,Bk,40.629755,-73.976971
442,442,Dyre Av,Eastchester-Dyre Av,Bx,40.8883,-73.830834
287,287,Crosstown,Flushing Av,Bk,40.700377,-73.950234
63,615,West End,62 St,Bk,40.626472,-73.996895
346,346,Eastern Pky,Sutter Av-Rutland Rd,Bk,40.664717,-73.92261
427,427,Lenox - White Plains Rd,West Farms Sq-E Tremont Av,Bx,40.840295,-73.880049
395,395,Lexington Av,103 St,M,40.7906,-73.947478
208,208,Rockaway,Beach 25 St,Q,40.600066,-73.761353
106,628,Jamaica,Fulton St,M,40.710374,-74.007582
16,16,Broadway - Brighton,8 St-NYU,M,40.730328,-73.992629
123,123,Canarsie,Grand St,Bk,40.711926,-73.94067
468,611,Lexington - Shuttle,Times Sq-42 St,M,40.755983,-73.986229
517,517,Staten Island,Prince's Bay,SI,40.525507,-74.200064
351,351,Eastern Pky,Van Siclen Av,Bk,40.665449,-73.889395
447,447,Flushing,Flushing-Main St,Q,40.7596,-73.83003
142,626,Franklin Shuttle,Botanic Garden,Bk,40.670343,-73.959245
213,213,Concourse,Fordham Rd,Bx,40.861296,-73.897749
339,339,Eastern Pky,Bergen St,Bk,40.680829,-73.975098
112,630,Myrtle Av,Myrtle-Wyckoff Avs,Bk,40.69943,-73.912385
314,314,Broadway - 7Av,66 St-Lincoln Center,M,40.77344,-73.982209
240,240,6th Av - Culver,7 Av,Bk,40.666271,-73.980305
375,375,Pelham,Cypress Av,Bx,40.805368,-73.914042
156,156,8th Av - Fulton St,103 St,M,40.796092,-73.961454
198,198,Rockaway,Howard Beach-JFK Airport,Q,40.660476,-73.830301
356,356,Nostrand,Church Av,Bk,40.650843,-73.949575
454,616,Flushing,74 St-Broadway,Q,40.746848,-73.891394
91,91,Jamaica,Alabama Av,Bk,40.676992,-73.898654
131,131,Canarsie,Bushwick Av-Aberdeen St,Bk,40.682829,-73.905249
28,28,4th Av,Union St,Bk,40.677316,-73.98311
402,610,Lexington Av,Grand Central-42 St,M,40.751776,-73.976848
84,84,Jamaica,85 St-Forest Pkwy,Q,40.692435,-73.86001
