GTFS Stop ID,Stop Name,Borough,zone
237,Grand Army Plaza,Bk,Park Slope
J31,Kosciuszko St,Bk,Bushwick South
D19,14 St,M,Flatiron
M09,Knickerbocker Av,Bk,Bushwick North
618,Brook Av,Bx,Mott Haven/Port Morris
H02,Aqueduct-N Conduit Av,Q,Ozone Park
S21,Oakwood Heights,SI,Oakwood
123,72 St,M,Lincoln Square West
B17,71 St,Bk,Bensonhurst West
250,Crown Hts-Utica Av,Bk,Crown Heights North
709,82 St-Jackson Hts,Q,Jackson Heights
J23,Van Siclen Av,Bk,East New York
L11,Graham Av,Bk,East Williamsburg
J17,75 St-Elderts Ln,Q,Woodhaven
702,Mets-Willets Point,Q,Flushing Meadows-Corona Park
638,Spring St,M,Little Italy/NoLiTa
B10,57 St,M,Midtown North
227,110 St-Malcolm X Plaza,M,Central Harlem
A19,96 St,M,Central Park
R36,36 St,Bk,Sunset Park West
F04,Sutphin Blvd,Q,Jamaica
A55,Euclid Av,Bk,East New York
R22,Prince St,M,Little Italy/NoLiTa
111,181 St,M,Washington Heights North
S26,Old Town,SI,South Beach/Dongan Hills
A34,Canal St,M,TriBeCa/Civic Center
A02,Inwood-207 St,M,Inwood
D33,Avenue J,Bk,Midwood
245,Beverly Rd,Bk,Erasmus
708,90 St-Elmhurst Av,Q,Jackson Heights
M14,Hewes St,Bk,South Williamsburg
405,Bedford Park Blvd-Lehman College,Bx,Van Cortlandt Village
L03,14 St-Union Sq,M,Greenwich Village North
L14,Morgan Av,Bk,Bushwick North
D15,47-50 Sts-Rockefeller Ctr,M,Times Sq/Theatre District
719,Court Sq,Q,Long Island City/Hunters Point
135,Canal St,M,Hudson Sq
A63,104 St,Q,South Ozone Park
M21,Chambers St,M,Chinatown
L05,3 Av,M,Gramercy
D04,Kingsbridge Rd,Bx,Bedford Park
249,Kingston Av,Bk,Crown Heights North
R26,Rector St,M,World Trade Center
J19,Cypress Hills,Bk,Cypress Hills
A40,High St,Bk,Downtown Brooklyn/MetroTech
G08,Forest Hills-71 Av,Q,Forest Hills
L20,Wilson Av,Bk,Bushwick North
G33,Bedford-Nostrand Avs,Bk,Bedford
S11,Arthur Kill,SI,Charleston/Tottenville
L26,Livonia Av,Bk,Brownsville
131,18 St,M,Flatiron
L19,Halsey St,Q,Ridgewood
724,5 Av,M,Midtown South
F21,Carroll St,Bk,Carroll Gardens
241,President St-Medgar Evers College,Bk,Crown Heights South
F29,Ditmas Av,Bk,Kensington
F35,Kings Hwy,Bk,Homecrest
415,149 St-Grand Concourse,Bx,Mott Haven/Port Morris
S22,New Dorp,SI,New Dorp/Midland Beach
H07,Beach 60 St,Q,Hammels/Arverne
222,149 St-Grand Concourse,Bx,Mott Haven/Port Morris
R31,Atlantic Av-Barclays Ctr,Bk,Park Slope
209,Burke Av,Bx,Bronxdale
D25,7 Av,Bk,Prospect Heights
D39,Sheepshead Bay,Bk,Sheepshead Bay
B12,9 Av,Bk,Sunset Park East
A32,W 4 St-Wash Sq,M,West Village
G07,Jamaica-Van Wyck,Q,Kew Gardens
G24,21 St,Q,Long Island City/Hunters Point
A11,155 St,M,Hamilton Heights
413,167 St,Bx,West Concourse
101,Van Cortlandt Park-242 St,Bx,Spuyten Duyvil/Kingsbridge
A25,50 St,M,Clinton East
632,33 St,M,Midtown South
122,79 St,M,Upper West Side South
A47,Kingston-Throop Avs,Bk,Bedford
207,219 St,Bx,Williamsbridge/Olinville
G12,Grand Av-Newtown,Q,Elmhurst
N04,New Utrecht Av,Bk,Bensonhurst West
A12,145 St,M,Hamilton Heights
R05,Broadway,Q,Astoria
A43,Lafayette Av,Bk,Fort Greene
D37,Avenue U,Bk,Madison
A60,88 St,Q,Ozone Park
R35,25 St,Bk,Sunset Park West
G18,46 St,Q,Astoria
G36,Fulton St,Bk,Fort Greene
639,Canal St,M,Little Italy/NoLiTa
423,Borough Hall,Bk,Brooklyn Heights
117,116 St-Columbia University,M,Morningside Heights
608,Parkchester,Bx,Soundview/Bruckner
634,23 St-Baruch College,M,Union Sq
H06,Beach 67 St,Q,Hammels/Arverne
408,183 St,Bx,Fordham South
F11,Lexington Av/53 St,M,Sutton Place/Turtle Bay North
D26,Prospect Park,Bk,Prospect-Lefferts Gardens
129,28 St,M,Penn Station/Madison Sq West
R24,City Hall,M,TriBeCa/Civic Center
F07,75 Av,Q,Forest Hills
N05,18 Av,Bk,Bensonhurst West
R16,Times Sq-42 St,M,Garment District
112,168 St-Washington Hts,M,Washington Heights South
302,145 St,M,Central Harlem North
A06,181 St,M,Washington Heights North
107,215 St,M,Inwood
J30,Gates Av,Bk,Bushwick South
715,40 St-Lowery St,Q,Sunnyside
F20,Bergen St,Bk,Boerum Hill
A48,Utica Av,Bk,Crown Heights North
Q03,72 St,M,Lenox Hill West
231,Clark St,Bk,Brooklyn Heights
A22,72 St,M,Central Park
A54,Shepherd Av,Bk,East New York
R41,59 St,Bk,Sunset Park West
A38,Fulton St,M,Seaport
602,Buhre Av,Bx,Pelham Bay
D11,161 St-Yankee Stadium,Bx,West Concourse
627,77 St,M,Upper East Side South
D32,Avenue H,Bk,Midwood
139,Rector St,M,World Trade Center
R08,39 Av-Dutch Kills,Q,Long Island City/Queens Plaza
D21,Broadway-Lafayette St,M,Greenwich Village South
S20,Bay Terrace,SI,Oakwood
J12,121 St,Q,Richmond Hill
134,Houston St,M,Hudson Sq
F02,169 St,Q,Jamaica
F30,18 Av,Bk,Flatbush/Ditmas Park
501,Eastchester-Dyre Av,Bx,Eastchester
G31,Flushing Av,Bk,Bedford
B16,62 St,Bk,Bensonhurst West
251,Sutter Av-Rutland Rd,Bk,Brownsville
214,West Farms Sq-E Tremont Av,Bx,East Tremont
624,103 St,M,East Harlem South
H10,Beach 25 St,Q,Far Rockaway
M22,Fulton St,M,Seaport
R21,8 St-NYU,M,Greenwich Village North
L12,Grand St,Bk,East Williamsburg
902,Times Sq-42 St,M,Times Sq/Theatre District
S15,Prince's Bay,SI,Eltingville/Annadale/Prince's Bay
256,Van Siclen Av,Bk,East New York
701,Flushing-Main St,Q,Flushing
S04,Botanic Garden,Bk,Crown Heights South
D05,Fordham Rd,Bx,Bedford Park
236,Bergen St,Bk,Park Slope
M08,Myrtle-Wyckoff Avs,Bk,Bushwick North
