w_geocode,segment,year,C000,CE01,CE02,CE03
060730018021001,S000,2023,53,0,16,37
060730018021002,S000,2023,25,1,4,20
060730018021003,S000,2023,30,8,9,13
060730018021004,S000,2023,147,63,51,33
060730018021005,S000,2023,27,2,18,7
060730018021006,S000,2023,6,0,5,1
060730018021007,S000,2023,4,0,4,0
060730018021008,S000,2023,33,10,8,15
060730018021010,S000,2023,2,2,0,0
060730018021011,S000,2023,4,4,0,0
060730018022000,S000,2023,18,9,7,2
060730018022001,S000,2023,65,19,26,20
060730018022002,S000,2023,30,1,1,28
060730018022004,S000,2023,1,0,0,1
060730018022005,S000,2023,6,1,0,5
060730018022006,S000,2023,4,1,3,0
060730018022007,S000,2023,59,0,0,59
060730018023001,S000,2023,2,2,0,0
060730018023003,S000,2023,3,1,2,0
060730018023005,S000,2023,1,1,0,0
060730018023006,S000,2023,1,1,0,0
060730018023007,S000,2023,2,0,2,0
060730018023008,S000,2023,23,10,11,2
060730018023009,S000,2023,75,16,31,28
060730018023010,S000,2023,22,10,9,3
060730018023011,S000,2023,19,9,7,3
060730018024000,S000,2023,11,0,7,4
060730018024003,S000,2023,6,1,4,1
060730018024005,S000,2023,6,0,0,6
060730018024006,S000,2023,3,2,1,0
060730018024007,S000,2023,75,9,16,50
060730018024008,S000,2023,12,6,3,3
060730018024009,S000,2023,104,23,68,13
060730018024010,S000,2023,14,6,4,4
060730019001000,S000,2023,36,1,20,15
060730019001006,S000,2023,2,0,2,0
060730019001007,S000,2023,4,0,0,4
060730019001010,S000,2023,7,3,2,2
060730019001011,S000,2023,2,1,0,1
060730019002000,S000,2023,128,47,26,55
060730019002001,S000,2023,14,5,5,4
060730019002003,S000,2023,4,2,1,1
060730019002005,S000,2023,5,0,3,2
060730019002009,S000,2023,17,2,6,9
060730019002012,S000,2023,2,0,0,2
060730019002017,S000,2023,2,0,0,2
060730019002019,S000,2023,2,1,0,1
060730019003004,S000,2023,11,4,4,3
060730019003008,S000,2023,1,1,0,0
060730019003009,S000,2023,2,2,0,0
060730019003010,S000,2023,3,1,2,0
060730019003011,S000,2023,2,1,0,1
060730019003013,S000,2023,2,1,0,1
060730020011000,S000,2023,1,0,0,1
060730020011002,S000,2023,1,1,0,0
060730020011005,S000,2023,3,1,2,0
060730020011007,S000,2023,20,1,1,18
060730020011009,S000,2023,1,0,0,1
060730020011010,S000,2023,8,2,4,2
060730020011014,S000,2023,5,0,2,3
060730020011015,S000,2023,1,0,1,0
060730020011016,S000,2023,2,0,0,2
060730020011017,S000,2023,3,0,0,3
060730020011021,S000,2023,1,0,1,0
060730020011022,S000,2023,2,0,1,1
060730020012006,S000,2023,516,138,119,259
060730020012007,S000,2023,35,2,3,30
060730020012008,S000,2023,108,33,27,48
060730020012010,S000,2023,2,0,0,2
060730020012011,S000,2023,2,1,1,0
060730020012012,S000,2023,25,6,10,9
060730020012013,S000,2023,2,0,1,1
060730020012015,S000,2023,5,2,2,1
060730020012016,S000,2023,2,0,0,2
060730020012018,S000,2023,6,3,0,3
060730020012019,S000,2023,7,0,0,7
